"FullName","Name","Extension","SizeKB","Modified"
"C:\Users\jarek\Downloads\Finance\Statement_of_Assets.csv","Statement_of_Assets.csv",".csv","3","2025-11-25 22:30"
"C:\Users\jarek\Downloads\Finance\Trades.csv","Trades.csv",".csv","6.3","2025-11-25 22:34"
"C:\Users\jarek\Downloads\Finance\Transactions.csv","Transactions.csv",".csv","18","2025-11-28 22:52"
"C:\Users\jarek\Downloads\Finance\Transactions.xls","Transactions.xls",".xls","47","2025-11-28 22:52"
"C:\Users\jarek\Downloads\Finance\transferReceipt.pdf","transferReceipt.pdf",".pdf","21.8","2025-06-27 20:04"
"C:\Users\jarek\Downloads\Finance\Zestawienie_aktywów.csv","Zestawienie_aktywów.csv",".csv","2.5","2025-08-04 22:37"
"C:\Users\jarek\Downloads\Finance\finanse 2025\2026-01-01_Steuerbescheinigung_2025_3.172.512.844.05.pdf","2026-01-01_Steuerbescheinigung_2025_3.172.512.844.05.pdf",".pdf","48.6","2026-01-07 22:35"
"C:\Users\jarek\Downloads\Finance\finanse 2025\21V-LCK-AB1.pdf","21V-LCK-AB1.pdf",".pdf","48.6","2026-01-11 18:02"
"C:\Users\jarek\Downloads\Finance\finanse 2025\21V-LD4-LI0.pdf","21V-LD4-LI0.pdf",".pdf","269.3","2026-01-11 18:02"
"C:\Users\jarek\Downloads\Finance\finanse 2025\BOS Deposit 2025.12.31.png","BOS Deposit 2025.12.31.png",".png","178.6","2026-01-01 11:15"
"C:\Users\jarek\Downloads\Finance\finanse 2025\BOS Saldo 2025.12.31.pdf","BOS Saldo 2025.12.31.pdf",".pdf","70.3","2026-01-01 11:17"
"C:\Users\jarek\Downloads\Finance\finanse 2025\historia_operacji_20260101_111615.pdf","historia_operacji_20260101_111615.pdf",".pdf","70.3","2026-01-01 11:16"
"C:\Users\jarek\Downloads\Finance\finanse 2025\Information für die Versicherten der Pensionskasse BRUGG 2026.pdf","Information für die Versicherten der Pensionskasse BRUGG 2026.pdf",".pdf","135.4","2026-02-03 20:54"
"C:\Users\jarek\Downloads\Finance\finanse 2025\lista_operacji_251231_260101_202601011121331433.pdf","lista_operacji_251231_260101_202601011121331433.pdf",".pdf","77.9","2026-01-01 11:21"
"C:\Users\jarek\Downloads\Finance\finanse 2025\Lohnausweis 2025.pdf","Lohnausweis 2025.pdf",".pdf","685.6","2026-03-01 08:50"
"C:\Users\jarek\Downloads\Finance\finanse 2025\MBank Saldo 202512.31.pdf","MBank Saldo 202512.31.pdf",".pdf","77","2026-01-01 11:23"
"C:\Users\jarek\Downloads\Finance\finanse 2025\NN Jaroslaw Lach 2025.12.31.pdf","NN Jaroslaw Lach 2025.12.31.pdf",".pdf","232.4","2026-01-01 11:10"
"C:\Users\jarek\Downloads\Finance\finanse 2025\Vorsorgeausweis per 01.01.2026.pdf","Vorsorgeausweis per 01.01.2026.pdf",".pdf","137.9","2026-02-03 20:54"
"C:\Users\jarek\Downloads\Installers\FreeFileSync_14.5_Windows_Setup.exe","FreeFileSync_14.5_Windows_Setup.exe",".exe","20618.3","2025-10-22 20:29"
"C:\Users\jarek\Downloads\Installers\PlexMediaServer-1.43.0.10162-b67a664b6-x86_64_DSM72.spk","PlexMediaServer-1.43.0.10162-b67a664b6-x86_64_DSM72.spk",".spk","105580","2025-10-04 18:42"
"C:\Users\jarek\Downloads\Installers\PlexMediaServer-1.43.0.10346-fc911a729-x86_64_DSM72.spk","PlexMediaServer-1.43.0.10346-fc911a729-x86_64_DSM72.spk",".spk","105660","2025-11-27 21:57"
"C:\Users\jarek\Downloads\Installers\PowerToysSetup-0.98.0-x64.exe","PowerToysSetup-0.98.0-x64.exe",".exe","386051.3","2026-03-23 19:43"
"C:\Users\jarek\Downloads\Installers\Resilio-Sync_x64.exe","Resilio-Sync_x64.exe",".exe","40838.7","2025-10-22 20:30"
"C:\Users\jarek\Downloads\Installers\TreeSize-Setup.exe","TreeSize-Setup.exe",".exe","38147.1","2026-02-19 20:52"
"C:\Users\jarek\Downloads\Misc\Archiv.zip","Archiv.zip",".zip","1914.3","2025-09-24 22:48"
"C:\Users\jarek\Downloads\Misc\Debug.txt","Debug.txt",".txt","0.4","2025-12-22 12:20"
"C:\Users\jarek\Downloads\Misc\index.html","index.html",".html","7.6","2026-03-21 17:56"
"C:\Users\jarek\Downloads\Misc\MOTW deblock.ps1","MOTW deblock.ps1",".ps1","0.8","2026-02-03 21:00"
"C:\Users\jarek\Downloads\Misc\pipe_pressure_loss_calculator.jsx","pipe_pressure_loss_calculator.jsx",".jsx","49.4","2026-03-21 23:15"
"C:\Users\jarek\Downloads\Misc\vivaldi zapas klucz szyfrowania.txt","vivaldi zapas klucz szyfrowania.txt",".txt","0.1","2025-06-22 20:18"
"C:\Users\jarek\Downloads\Music - Audio\01 Jesienna Zaduma-guitars-E minor-78bpm-445hz.m4a","01 Jesienna Zaduma-guitars-E minor-78bpm-445hz.m4a",".m4a","4679.6","2025-09-15 21:04"
"C:\Users\jarek\Downloads\Music - Audio\01 Jesienna Zaduma-guitars-E minor-78bpm-445hz.wav","01 Jesienna Zaduma-guitars-E minor-78bpm-445hz.wav",".wav","34135.8","2025-09-15 21:04"
"C:\Users\jarek\Downloads\Music - Audio\05 Twoja postac-guitars-D major-76bpm-446hz.m4a","05 Twoja postac-guitars-D major-76bpm-446hz.m4a",".m4a","5277.1","2025-12-01 19:18"
"C:\Users\jarek\Downloads\Music - Audio\05 Twoja postac-guitars-D major-76bpm-446hz.mp3","05 Twoja postac-guitars-D major-76bpm-446hz.mp3",".mp3","8730.8","2026-01-17 22:51"
"C:\Users\jarek\Downloads\Music - Audio\11_Czas-nas-uczy-pogody-1.mp3","11_Czas-nas-uczy-pogody-1.mp3",".mp3","4442.8","2025-08-13 22:19"
"C:\Users\jarek\Downloads\Music - Audio\16 Gdziekolwiek-guitars-G major-125bpm-440hz.mp3","16 Gdziekolwiek-guitars-G major-125bpm-440hz.mp3",".mp3","6711.4","2026-01-17 22:48"
"C:\Users\jarek\Downloads\Music - Audio\GMT20250822-140411_Recording.m4a","GMT20250822-140411_Recording.m4a",".m4a","79681","2025-09-16 17:25"
"C:\Users\jarek\Downloads\Music - Audio\GMT20250822-140411_Recording.transcript.vtt","GMT20250822-140411_Recording.transcript.vtt",".vtt","88.5","2025-09-16 17:25"
"C:\Users\jarek\Downloads\Music - Audio\GMT20250822-140411_Recording_1898x1020.mp4","GMT20250822-140411_Recording_1898x1020.mp4",".mp4","278610.8","2025-09-16 17:22"
"C:\Users\jarek\Downloads\Music - Audio\Estas Tonne feat Sanya Kroitor - Spontaneous -[WAV]\01. Spontaneous (Prologue).wav","01. Spontaneous (Prologue).wav",".wav","36850.5","2025-07-15 21:54"
"C:\Users\jarek\Downloads\Music - Audio\Estas Tonne feat Sanya Kroitor - Spontaneous -[WAV]\02. Time (Chronos).wav","02. Time (Chronos).wav",".wav","65972.3","2025-07-15 21:54"
"C:\Users\jarek\Downloads\Music - Audio\Estas Tonne feat Sanya Kroitor - Spontaneous -[WAV]\03. Beyond.wav","03. Beyond.wav",".wav","59620.6","2025-07-15 21:54"
"C:\Users\jarek\Downloads\Music - Audio\Estas Tonne feat Sanya Kroitor - Spontaneous -[WAV]\04. Meditative.wav","04. Meditative.wav",".wav","73758.7","2025-07-15 21:54"
"C:\Users\jarek\Downloads\Music - Audio\Estas Tonne feat Sanya Kroitor - Spontaneous -[WAV]\05. Angels and Demons.wav","05. Angels and Demons.wav",".wav","70823.9","2025-07-15 21:54"
"C:\Users\jarek\Downloads\Music - Audio\Estas Tonne feat Sanya Kroitor - Spontaneous -[WAV]\06. Revival.wav","06. Revival.wav",".wav","54449.5","2025-07-15 21:54"
"C:\Users\jarek\Downloads\Music - Audio\Estas Tonne feat Sanya Kroitor - Spontaneous -[WAV]\07. Spontaneous.wav","07. Spontaneous.wav",".wav","85427.6","2025-07-15 21:54"
"C:\Users\jarek\Downloads\Music - Audio\Estas Tonne feat Sanya Kroitor - Spontaneous -[WAV]\08. Spontaneous (Epilogue).wav","08. Spontaneous (Epilogue).wav",".wav","43913.1","2025-07-15 21:54"
"C:\Users\jarek\Downloads\Music - Audio\Estas Tonne feat Sanya Kroitor - Spontaneous -[WAV]\09. Time (Kairos).wav","09. Time (Kairos).wav",".wav","36375.3","2025-07-15 21:54"
"C:\Users\jarek\Downloads\Personal Documents\Amazon Scan2026-01-11_202035.pdf","Amazon Scan2026-01-11_202035.pdf",".pdf","3310.7","2026-01-11 20:21"
"C:\Users\jarek\Downloads\Personal Documents\biblia13.12.pdf","biblia13.12.pdf",".pdf","104.8","2025-09-22 21:59"
"C:\Users\jarek\Downloads\Personal Documents\Jarek Galactic Chart.png","Jarek Galactic Chart.png",".png","245.3","2025-09-16 17:25"
"C:\Users\jarek\Downloads\Personal Documents\Jarek StarryTelling.docx","Jarek StarryTelling.docx",".docx","25.3","2025-09-16 17:25"
"C:\Users\jarek\Downloads\Personal Documents\Jaroslaw_Lach_CV.md","Jaroslaw_Lach_CV.md",".md","4.8","2026-03-15 10:20"
"C:\Users\jarek\Downloads\Personal Documents\Laborwerte Jarek 10.02.2026.pdf","Laborwerte Jarek 10.02.2026.pdf",".pdf","66.8","2026-03-14 18:18"
"C:\Users\jarek\Downloads\Personal Documents\Opinia_Prawna_Premia_2025_Lach.docx","Opinia_Prawna_Premia_2025_Lach.docx",".docx","27.5","2026-03-21 19:47"
"C:\Users\jarek\Downloads\Personal Documents\wyniki-10_8_2025-19_21_28.pdf","wyniki-10_8_2025-19_21_28.pdf",".pdf","246.2","2025-08-10 19:21"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna 5 JG_1.m4a","Karuna 5 JG_1.m4a",".m4a","48329.9","2025-11-30 13:57"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna 5 JG_1a.m4a","Karuna 5 JG_1a.m4a",".m4a","24067.2","2025-11-30 14:08"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna 5 JG_2.m4a","Karuna 5 JG_2.m4a",".m4a","48329.9","2025-11-30 13:58"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna 5 JG_2a.m4a","Karuna 5 JG_2a.m4a",".m4a","23815.3","2025-11-30 14:03"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna 5 JG_2a.m4a.srt","Karuna 5 JG_2a.m4a.srt",".srt","14.1","2025-11-30 14:09"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna 5 JG_2a.m4a.txt","Karuna 5 JG_2a.m4a.txt",".txt","9.6","2025-11-30 14:09"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna Basic Training - Module 5-5 - Contemplation.mp3","Karuna Basic Training - Module 5-5 - Contemplation.mp3",".mp3","11532.2","2025-11-30 12:12"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna Basic Training - Module 5-5 - Contemplation.mp3.srt","Karuna Basic Training - Module 5-5 - Contemplation.mp3.srt",".srt","7","2025-11-30 13:49"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna Basic Training - Module 5-5 - Contemplation.mp3.txt","Karuna Basic Training - Module 5-5 - Contemplation.mp3.txt",".txt","4.6","2025-11-30 13:49"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna Basic Training - Module 5-5 - Contemplation.mp4","Karuna Basic Training - Module 5-5 - Contemplation.mp4",".mp4","11471.3","2025-11-30 12:05"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna Basic Training - Module 5-5 - Jealous God Realm POLSKI.docx","Karuna Basic Training - Module 5-5 - Jealous God Realm POLSKI.docx",".docx","23.3","2025-12-01 09:08"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna Basic Training - Module 5-5 - Jealous God Realm.docx","Karuna Basic Training - Module 5-5 - Jealous God Realm.docx",".docx","22.7","2025-12-01 09:05"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna Basic Training - Module 5-5 - Jealous God Realm.mp3","Karuna Basic Training - Module 5-5 - Jealous God Realm.mp3",".mp3","31968.6","2025-11-30 12:16"
"C:\Users\jarek\Downloads\Personal Documents\Karuna_Training_-_KBT_2025_-_Module_5-5\Karuna Basic Training - Module 5-5 - Jealous God Realm.mp4","Karuna Basic Training - Module 5-5 - Jealous God Realm.mp4",".mp4","31799.5","2025-11-30 12:05"
"C:\Users\jarek\Downloads\Scans & Photos\28234.jpg","28234.jpg",".jpg","517.2","2025-06-27 20:04"
"C:\Users\jarek\Downloads\Scans & Photos\9584822_Trwaj-chwilo-trwaj_Elzbieta-Adamiak-800x800.jpg","9584822_Trwaj-chwilo-trwaj_Elzbieta-Adamiak-800x800.jpg",".jpg","70.7","2025-09-23 09:02"
"C:\Users\jarek\Downloads\Scans & Photos\asia.jpg","asia.jpg",".jpg","4341.8","2025-08-04 15:46"
"C:\Users\jarek\Downloads\Scans & Photos\asia2.jpg","asia2.jpg",".jpg","4249.9","2025-08-04 15:46"
"C:\Users\jarek\Downloads\Scans & Photos\asia3.jpg","asia3.jpg",".jpg","4169.3","2025-08-04 15:46"
"C:\Users\jarek\Downloads\Scans & Photos\Scan2025-06-27_195844.pdf","Scan2025-06-27_195844.pdf",".pdf","547.4","2025-06-27 20:03"
"C:\Users\jarek\Downloads\Scans & Photos\Scan2025-07-06_091337.jpg","Scan2025-07-06_091337.jpg",".jpg","13029.6","2025-07-06 09:18"
"C:\Users\jarek\Downloads\Scans & Photos\Transcend-Sailboat-Hierarchy-of-Needs-997x1024.png","Transcend-Sailboat-Hierarchy-of-Needs-997x1024.png",".png","23.2","2025-04-30 22:35"
"C:\Users\jarek\Downloads\Scans & Photos\zlota-kolekcja-trwaj-chwilo-trwaj-b-iext198677631.webp","zlota-kolekcja-trwaj-chwilo-trwaj-b-iext198677631.webp",".webp","11.5","2025-09-23 09:01"
